종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
46890,서울반도체,14800,-300,-1.99,KOSDAQ,반도체,8.6292E+11,310,47.74,11728,1.26,157,1.06
353200,대덕전자,17450,-100,-0.57,KOSPI,전기전자,8.62325E+11,NA,NA,12381,1.41,300,1.72
84990,헬릭스미스,24700,-450,-1.79,KOSDAQ,기타서비스,8.46363E+11,NA,NA,8063,3.06,0,0
3380,하림지주,9140,-250,-2.66,KOSDAQ,금융,8.44004E+11,725,12.61,18343,0.5,50,0.55
57050,현대홈쇼핑,70300,-600,-0.85,KOSPI,유통업,8.44E+11,9814,7.16,149799,0.47,2200,3.13
151910,나노스,5670,-50,-0.87,KOSDAQ,IT부품,8.42706E+11,NA,NA,250,22.68,0,0
6040,동원산업,228500,1500,0.66,KOSPI,"농업, 임업 및 어업",8.40341E+11,70124,3.26,340108,0.67,5000,2.19
298000,효성화학,262500,-10000,-3.67,KOSPI,화학,8.37408E+11,NA,NA,126125,2.08,0,0
3280,흥아해운,3470,-225,-6.09,KOSPI,운수창고업,8.34274E+11,NA,NA,NA,NA,0,0
1680,대상,23950,-300,-1.24,KOSPI,음식료품,8.2982E+11,3473,6.9,30083,0.8,700,2.92
218410,RFHIC,31000,-500,-1.59,KOSDAQ,일반전기전자,8.26076E+11,83,373.49,8062,3.85,100,0.32
17390,서울가스,164500,-1000,-0.6,KOSPI,전기가스업,8.23E+11,33732,4.88,206106,0.8,16750,10.18
89590,제주항공,21350,-350,-1.61,KOSPI,운수창고업,8.21967E+11,NA,NA,5385,3.96,0,0
280360,롯데제과,128000,-500,-0.39,KOSPI,음식료품,8.2134E+11,6392,20.03,185045,0.69,1600,1.25
33270,유나이티드제약,50000,250,0.5,KOSPI,의약품,8.12241E+11,1794,27.87,17045,2.93,350,0.7
192400,쿠쿠홀딩스,22800,-300,-1.3,KOSPI,기타금융,8.10818E+11,3434,6.64,21397,1.07,660,2.89
183300,코미코,80800,500,0.62,KOSDAQ,반도체,8.09652E+11,2473,32.67,16223,4.98,350,0.43
140860,파크시스템스,120600,-500,-0.41,KOSDAQ,의료·정밀기기,8.06579E+11,1498,80.51,7960,15.15,180,0.15
121800,비덴트,17650,250,1.44,KOSDAQ,통신장비,8.06143E+11,592,29.81,7345,2.4,0,0
267270,현대건설기계,40600,-650,-1.58,KOSPI,기계,7.99852E+11,NA,NA,61841,0.66,0,0
267260,현대일렉트릭,22150,-300,-1.34,KOSPI,전기전자,7.98444E+11,NA,NA,18841,1.18,0,0
290650,엘앤씨바이오,35000,250,0.72,KOSDAQ,제약,7.93971E+11,494,70.85,2642,13.25,50,0.14
33640,네패스,34400,-750,-2.13,KOSDAQ,반도체,7.93237E+11,NA,NA,9023,3.81,0,0
97520,엠씨넥스,44050,-350,-0.79,KOSPI,전기전자,7.91459E+11,2180,20.21,14159,3.11,500,1.14
33290,코웰패션,8940,-200,-2.19,KOSDAQ,유통,7.91192E+11,697,12.83,3233,2.77,120,1.34
36830,솔브레인홀딩스,37700,-900,-2.33,KOSDAQ,기타서비스,7.90345E+11,106557,0.35,49397,0.76,0,0
49770,동원F&B,204000,-2000,-0.97,KOSPI,음식료품,7.87261E+11,20194,10.1,193553,1.05,3500,1.72
299660,셀리드,80600,6300,8.48,KOSDAQ,기타서비스,7.84334E+11,NA,NA,4877,16.53,0,0
